"cycle";"conveyorRuntime";"energyConsumption";"processTime";"amountCorn";"y";"repetitions";"energyConsumptionNorm";"processTimeNorm";"amountCornNorm";"conveyorRuntimeMean";"energyConsumptionMean";"processTimeMean";"amountCornMean";"energyConsumptionNormMean";"processTimeNormMean";"amountCornNormMean";"yAgg"
1;2217;1558465,81;88393;5;548954,603333333;3;1;1;0,0263157894736842;2116,66666666667;1553285,29333333;86744,3333333333;6,33333333333333;0,991627671239954;0,954293846395535;0,0614035087719298;0,669108342135806
2;2017;1552945,65;86569;10;546508,216666667;3;0,991078767369782;0,94943306257104;0,157894736842105;2116,66666666667;1553285,29333333;86744,3333333333;6,33333333333333;0,991627671239954;0,954293846395535;0,0614035087719298;0,669108342135806
3;2116;1548444,42;85271;4;544573,14;3;0,98380424635008;0,913448476615564;0;2116,66666666667;1553285,29333333;86744,3333333333;6,33333333333333;0,991627671239954;0,954293846395535;0,0614035087719298;0,669108342135806
4;2522;1290464,5178866;65939;9;452137,5059622;3;0,566878157129023;0,377505475312578;0,131578947368421;2521,66666666667;1304767,88407047;69644;9,66666666666667;0,589994091652926;0,480219566965152;0,149122807017544;0,406445488545207
5;2521;1552016,470025;87126;10;546384,156675;3;0,989577102433926;0,964874830196002;0,157894736842105;2521,66666666667;1304767,88407047;69644;9,66666666666667;0,589994091652926;0,480219566965152;0,149122807017544;0,406445488545207
6;2522;1071822,6642998;55867;10;375899,888099933;3;0,213527015395829;0,0982783953868759;0,157894736842105;2521,66666666667;1304767,88407047;69644;9,66666666666667;0,589994091652926;0,480219566965152;0,149122807017544;0,406445488545207
7;3027;1256385,9508405;64810;16;440403,9836135;3;0,511803154896707;0,346206093537745;0,315789473684211;3059,33333333333;1211031,3494063;62667;13,6666666666667;0,438504745023567;0,28679548667905;0,254385964912281;0,326562065538299
8;3026;1234394,6085494;63810;10;432738,2028498;3;0,476262540054084;0,318482991877131;0,157894736842105;3059,33333333333;1211031,3494063;62667;13,6666666666667;0,438504745023567;0,28679548667905;0,254385964912281;0,326562065538299
9;3125;1142313,488829;59381;15;400569,829609667;3;0,327448540119908;0,195697374622273;0,289473684210526;3059,33333333333;1211031,3494063;62667;13,6666666666667;0,438504745023567;0,28679548667905;0,254385964912281;0,326562065538299
10;4137;1227540,4232485;64354;20;430638,141082833;3;0,465185364472226;0,333564359180505;0,421052631578947;4070,33333333333;1134218,62900177;60022;16,6666666666667;0,314366287499014;0,213467882786726;0,333333333333333;0,287055834539691
11;4037;1109310,3757933;58813;15;389379,458597767;3;0,274111598996307;0,179950652879044;0,289473684210526;4070,33333333333;1134218,62900177;60022;16,6666666666667;0,314366287499014;0,213467882786726;0,333333333333333;0,287055834539691
12;4037;1065805,0879635;56899;15;374239,695987833;3;0,203801899028509;0,126888636300629;0,289473684210526;4070,33333333333;1134218,62900177;60022;16,6666666666667;0,314366287499014;0,213467882786726;0,333333333333333;0,287055834539691
13;4632;1012359,9168599;54938;16;355771,305619967;3;0,117428169937863;0,0725236339441657;0,315789473684211;4567;1015727,62127347;54961;20,6666666666667;0,122870779301222;0,0731612652823598;0,43859649122807;0,211542845270551
14;4535;1031628,1584957;55629;21;362426,0528319;3;0,148567931468004;0,0916802971916498;0,447368421052632;4567;1015727,62127347;54961;20,6666666666667;0,122870779301222;0,0731612652823598;0,43859649122807;0,211542845270551
15;4534;1003194,7884648;54316;25;352511,929488267;3;0,102616236497799;0,0552798647112639;0,552631578947368;4567;1015727,62127347;54961;20,6666666666667;0,122870779301222;0,0731612652823598;0,43859649122807;0,211542845270551
16;5139;1045960,1641307;56844;20;367608,054710233;3;0,171730150738357;0,125363865709296;0,421052631578947;5105,66666666667;1013034,97339277;55293,6666666667;20,6666666666667;0,118519141280768;0,0823838171014573;0,43859649122807;0,213166483203432
17;5040;986593,6871999;54001;21;346871,8957333;3;0,0757868898299525;0,0465470876881705;0,447368421052632;5105,66666666667;1013034,97339277;55293,6666666667;20,6666666666667;0,118519141280768;0,0823838171014573;0,43859649122807;0,213166483203432
18;5138;1006551,0688477;55036;21;353869,356282567;3;0,108040383273995;0,0752404979069058;0,447368421052632;5105,66666666667;1013034,97339277;55293,6666666667;20,6666666666667;0,118519141280768;0,0823838171014573;0,43859649122807;0,213166483203432
19;5541;1040236,4946594;56944;27;365735,831553133;3;0,16248002268918;0,128136175875357;0,605263157894737;5577,66666666667;997243,805161733;54969,3333333333;28;0,0929987423626287;0,0733922911295316;0,631578947368421;0,265989993620194
20;5544;1011795,6231239;55642;31;355822,874374633;3;0,116516204398706;0,0920406975132378;0,710526315789474;5577,66666666667;997243,805161733;54969,3333333333;28;0,0929987423626287;0,0733922911295316;0,631578947368421;0,265989993620194
21;5648;939699,2977019;52322;26;330682,4325673;3;0;0;0,578947368421053;5577,66666666667;997243,805161733;54969,3333333333;28;0,0929987423626287;0,0733922911295316;0,631578947368421;0,265989993620194
