"cycle";"conveyorRuntime";"energyConsumption";"processTime";"amountCorn";"y";"repetitions";"energyConsumptionNorm";"processTimeNorm";"amountCornNorm";"conveyorRuntimeMean";"energyConsumptionMean";"processTimeMean";"amountCornMean";"energyConsumptionNormMean";"processTimeNormMean";"amountCornNormMean";"yAgg"
1;2219;1138779,6433099;58595;9;399127,8811033;3;0,34696179614644;0,267879548306148;0,133333333333333;2085;1206116,97889547;61564,6666666667;6,33333333333333;0,537250870333569;0,474882661833728;0,0444444444444444;0,35219265887058
2;2017;1109701,9100438;57001;5;388902,636681267;3;0,264790814854266;0,156768437195037;0;2085;1206116,97889547;61564,6666666667;6,33333333333333;0,537250870333569;0,474882661833728;0,0444444444444444;0,35219265887058
3;2019;1369869,3833327;69098;5;479657,4611109;3;1;1;0;2085;1206116,97889547;61564,6666666667;6,33333333333333;0,537250870333569;0,474882661833728;0,0444444444444444;0,35219265887058
4;2620;1347427,8957066;68629;10;472022,298568867;3;0,936582434297151;0,967307960407082;0,166666666666667;2588;1290338,7431845;65911;11,6666666666667;0,775253776352944;0,777847483619127;0,222222222222222;0,591774494064764
5;2623;1211748,9585124;62280;15;424681,319504133;3;0,553166323147783;0,524745573679074;0,333333333333333;2588;1290338,7431845;65911;11,6666666666667;0,775253776352944;0,777847483619127;0,222222222222222;0,591774494064764
6;2521;1311839,3753345;66824;10;459557,791778167;3;0,836012571613897;0,841488916771225;0,166666666666667;2588;1290338,7431845;65911;11,6666666666667;0,775253776352944;0,777847483619127;0,222222222222222;0,591774494064764
7;4132;1074666,6259166;57346;15;377342,5419722;3;0,165784346563339;0,180816952460616;0,333333333333333;4098;1040509,55331997;55782,3333333333;18,3333333333333;0,0692596227257501;0,0718202518704401;0,444444444444444;0,195174773013545
8;4029;1030861,2891136;55249;25;362045,0963712;3;0,0419945216139109;0,034643803150704;0,666666666666667;4098;1040509,55331997;55782,3333333333;18,3333333333333;0,0692596227257501;0,0718202518704401;0,444444444444444;0,195174773013545
9;4133;1016000,7449297;54752;15;356922,581643233;3;0;0;0,333333333333333;4098;1040509,55331997;55782,3333333333;18,3333333333333;0,0692596227257501;0,0718202518704401;0,444444444444444;0,195174773013545
10;5038;1058937,6697108;57384;25;372115,556570267;3;0,121335773000041;0,183465774431897;0,666666666666667;5073,66666666667;1039335,56807867;56504,6666666667;24;0,0659420491577781;0,122171104605233;0,633333333333333;0,273815495698781
11;5144;1030737,1745767;56161;25;362307,7248589;3;0,0416437854270021;0,0982155304614527;0,666666666666667;5073,66666666667;1039335,56807867;56504,6666666667;24;0,0659420491577781;0,122171104605233;0,633333333333333;0,273815495698781
12;5039;1028331,8599485;55969;22;361440,953316167;3;0,034846589046291;0,0848320089223477;0,566666666666667;5073,66666666667;1039335,56807867;56504,6666666667;24;0,0659420491577781;0,122171104605233;0,633333333333333;0,273815495698781
13;6149;1129168,2139768;61800;30;396999,404658933;3;0,319800786975138;0,491286769831312;0,833333333333333;6048,66666666667;1115139,8414296;61059,3333333333;30;0,280157905338298;0,439657976671778;0,833333333333333;0,51771640511447
14;5950;1139648,7230554;62104;35;400595,907685133;3;0,349417735020882;0,512477345601561;1;6048,66666666667;1115139,8414296;61059,3333333333;30;0,280157905338298;0,439657976671778;0,833333333333333;0,51771640511447
15;6047;1076602,5872566;59274;25;378633,862418867;3;0,171255194018872;0,315209814582462;0,666666666666667;6048,66666666667;1115139,8414296;61059,3333333333;30;0,280157905338298;0,439657976671778;0,833333333333333;0,51771640511447
